run_id,scan_id,target,target_ip,server_type,source,rule_id,category,severity,status,check_status,title,description,recommendation,wstg_id,cwe_id,cvss,cves,evidence_observed,evidence_raw_path
run_20260426_172337_fe0047,run_20260426_172337_fe0047,apache,192.168.56.10,apache,nmap,G4-CERT,tls,high,open,,Self-Signed TLS Certificate Detected,The TLS certificate on port 443 is self-signed (subject and issuer both 'vm-apache'). Self-signed certificates are not trusted by browsers and indicate missing CA-signed deployment.,Review and apply hardening via Ansible.,WSTG-CRYP-01,CWE-295,7.5,,"Subject CN=vm-apache, Issuer CN=vm-apache",runs\run_20260426_172337_fe0047\apache\raw\nmap.xml
run_20260426_172337_fe0047,run_20260426_172337_fe0047,apache,192.168.56.10,apache,testssl,G4-CAA,tls,low,open,,TLS Issue: DNS_CAArecord,"No DNS CAA record is configured. This does not expose data directly, but allows any CA to issue certificates for the domain unless restricted.",Review and apply hardening via Ansible.,WSTG-CRYP-01,CWE-295,3.7,,TestSSL performed check 'DNS_CAArecord' and returned vague value: '--',runs\run_20260426_172337_fe0047\apache\raw\testssl.json
run_20260426_172337_fe0047,run_20260426_172337_fe0047,nginx,192.168.56.11,nginx,nmap,G4-CERT,tls,high,open,,Self-Signed TLS Certificate Detected,The TLS certificate on port 443 is self-signed (subject and issuer both 'vm-nginx'). Self-signed certificates are not trusted by browsers and indicate missing CA-signed deployment.,Review and apply hardening via Ansible.,WSTG-CRYP-01,CWE-295,7.5,,"Subject CN=vm-nginx, Issuer CN=vm-nginx",runs\run_20260426_172337_fe0047\nginx\raw\nmap.xml
run_20260426_172337_fe0047,run_20260426_172337_fe0047,nginx,192.168.56.11,nginx,testssl,G4-CAA,tls,low,open,,TLS Issue: DNS_CAArecord,"No DNS CAA record is configured. This does not expose data directly, but allows any CA to issue certificates for the domain unless restricted.",Review and apply hardening via Ansible.,WSTG-CRYP-01,CWE-295,3.7,,TestSSL performed check 'DNS_CAArecord' and returned vague value: '--',runs\run_20260426_172337_fe0047\nginx\raw\testssl.json
run_20260426_172337_fe0047,run_20260426_172337_fe0047,nginx,192.168.56.11,nginx,gobuster,G9,files,info,open,,Sensitive File Restricted: /.git/HEAD,Sensitive path exists but is access-controlled. Verify that access controls cannot be bypassed.,Review and apply hardening via Ansible.,WSTG-CONF-06,CWE-538,7.5,,/.git/HEAD (status 403),runs\run_20260426_172337_fe0047\nginx\raw\gobuster.json
run_20260426_172337_fe0047,run_20260426_172337_fe0047,ols,192.168.56.12,ols,nmap,G4-CERT,tls,high,open,,Self-Signed TLS Certificate Detected,The TLS certificate on port 443 is self-signed (subject and issuer both '192.168.56.12'). Self-signed certificates are not trusted by browsers and indicate missing CA-signed deployment.,Review and apply hardening via Ansible.,WSTG-CRYP-01,CWE-295,7.5,,"Subject CN=192.168.56.12, Issuer CN=192.168.56.12",runs\run_20260426_172337_fe0047\ols\raw\nmap.xml
run_20260426_172337_fe0047,run_20260426_172337_fe0047,ols,192.168.56.12,ols,testssl,G4-CAA,tls,low,open,,TLS Issue: DNS_CAArecord,"No DNS CAA record is configured. This does not expose data directly, but allows any CA to issue certificates for the domain unless restricted.",Review and apply hardening via Ansible.,WSTG-CRYP-01,CWE-295,3.7,,TestSSL performed check 'DNS_CAArecord' and returned vague value: '--',runs\run_20260426_172337_fe0047\ols\raw\testssl.json
