run_id,scan_id,target,target_ip,server_type,source,rule_id,category,severity,status,check_status,title,description,recommendation,wstg_id,cwe_id,cvss,cves,evidence_observed,evidence_raw_path
run_20260425_183154_d83743,run_20260425_183154_d83743,apache,192.168.56.10,apache,nmap,G4-CERT,tls,high,open,,Self-Signed TLS Certificate Detected,The TLS certificate on port 443 is self-signed (subject and issuer both 'vm-apache'). Self-signed certificates are not trusted by browsers and indicate missing CA-signed deployment.,Review and apply hardening via Ansible.,WSTG-CRYP-01,CWE-295,7.5,,"Subject CN=vm-apache, Issuer CN=vm-apache",runs\run_20260425_183154_d83743\apache\raw\nmap.xml
run_20260425_183154_d83743,run_20260425_183154_d83743,apache,192.168.56.10,apache,testssl,G4-CAA,tls,low,open,,TLS Issue: DNS_CAArecord,"No DNS CAA record is configured. This does not expose data directly, but allows any CA to issue certificates for the domain unless restricted.",Review and apply hardening via Ansible.,WSTG-CRYP-01,CWE-295,3.7,,TestSSL performed check 'DNS_CAArecord' and returned vague value: '--',runs\run_20260425_183154_d83743\apache\raw\testssl.json
run_20260425_183154_d83743,run_20260425_183154_d83743,nginx,192.168.56.11,nginx,nmap,G4-CERT,tls,high,open,,Self-Signed TLS Certificate Detected,The TLS certificate on port 443 is self-signed (subject and issuer both 'vm-nginx'). Self-signed certificates are not trusted by browsers and indicate missing CA-signed deployment.,Review and apply hardening via Ansible.,WSTG-CRYP-01,CWE-295,7.5,,"Subject CN=vm-nginx, Issuer CN=vm-nginx",runs\run_20260425_183154_d83743\nginx\raw\nmap.xml
run_20260425_183154_d83743,run_20260425_183154_d83743,nginx,192.168.56.11,nginx,testssl,G4-CAA,tls,low,open,,TLS Issue: DNS_CAArecord,"No DNS CAA record is configured. This does not expose data directly, but allows any CA to issue certificates for the domain unless restricted.",Review and apply hardening via Ansible.,WSTG-CRYP-01,CWE-295,3.7,,TestSSL performed check 'DNS_CAArecord' and returned vague value: '--',runs\run_20260425_183154_d83743\nginx\raw\testssl.json
run_20260425_183154_d83743,run_20260425_183154_d83743,ols,192.168.56.12,ols,nmap,G4-CERT,tls,high,open,,Self-Signed TLS Certificate Detected,The TLS certificate on port 443 is self-signed (subject and issuer both 'localhost'). Self-signed certificates are not trusted by browsers and indicate missing CA-signed deployment.,Review and apply hardening via Ansible.,WSTG-CRYP-01,CWE-295,7.5,,"Subject CN=localhost, Issuer CN=localhost",runs\run_20260425_183154_d83743\ols\raw\nmap.xml
run_20260425_183154_d83743,run_20260425_183154_d83743,ols,192.168.56.12,ols,testssl,G4-CAA,tls,low,open,,TLS Issue: DNS_CAArecord,"No DNS CAA record is configured. This does not expose data directly, but allows any CA to issue certificates for the domain unless restricted.",Review and apply hardening via Ansible.,WSTG-CRYP-01,CWE-295,3.7,,TestSSL performed check 'DNS_CAArecord' and returned vague value: '--',runs\run_20260425_183154_d83743\ols\raw\testssl.json
